issue_id,issue,time,issue_time,category,description,topic,mark,abnormal_behavior,car_id,region,channel,platform,disengage_type,reviewed_status,version,safety_level,create_time
ISS-0001-5UJ6Q2,Environment parameter drift,2026-06-15 07:00:01,1781532001315,simulation,Weather and surface parameters drifted from the scenario baseline. The test remained valid but needs tighter configuration control. The event was closed after offline triage.,Environment parameter drift,"[""triage"", ""route_blocker""]","[""takeover""]",CAR-974,seattle,fleet_replay,7,0,0,ads_2026.06.1,S3,1781542441315
ISS-0002-FEPDOF,Uncomfortable stop profile,2026-06-17 18:49:10,1781747350660,planning,The planned deceleration profile produced an abrupt stop near the stop line. The event was recoverable but reduced ride comfort. The issue is useful for scenario-library expansion.,Uncomfortable stop profile,"[""triage""]",[],CAR-731,las_vegas,simulation,8,2,1,ads_2026.06.2,S2,1781758150660
ISS-0003-WRJ4JO,Delayed log upload,2026-06-11 19:27:20,1781231240399,data_platform,Issue logs were uploaded later than expected after the run. The complete data package became available after retry. The case should be compared against the latest regression run.,Delayed log upload,"[""hard_brake"", ""triage""]",[],CAR-964,seattle,PERFTEST,7,0,0,ads_2026.06.2,S3,1781242040399
ISS-0004-5PLE0A,Late object detection,2026-06-08 04:43:13,1780918993734,perception,The perception stack detected a nearby road user later than expected. The delay reduced downstream reaction margin but did not create a collision. The record is suitable for module-owner follow-up.,Late object detection,"[""manual_takeover""]",[],CAR-532,beijing_yizhuang,PERFTEST,8,0,0,ads_2026.06.1,S2,1780919413734
ISS-0005-RHDGGD,Door status inconsistency,2026-06-08 04:11:45,1780917105982,vehicle_interface,A body signal briefly disagreed with the expected closed-door state. The system raised a warning and held the current mode. The event was closed after offline triage.,Door status inconsistency,"[""hard_brake"", ""manual_takeover""]","[""takeover""]",CAR-429,beijing_yizhuang,road_test,8,1,1,ads_2026.06.2,S3,1780920045982
ISS-0006-XWVXUL,Over-conservative yield,2026-06-02 01:44:34,1780389874226,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The issue is useful for scenario-library expansion.,Over-conservative yield,"[""route_blocker"", ""stuck""]","[""jerk"", ""false_detection""]",CAR-489,austin,road_test,3,0,1,ads_2026.06.2,S3,1780398334226
ISS-0007-LBQHQ8,False positive obstacle,2026-06-03 07:08:00,1780495680566,perception,The model reported a static obstacle in a clear lane. Planning slowed the vehicle unnecessarily before the object track disappeared. The case should be compared against the latest regression run.,False positive obstacle,"[""safety_review"", ""triage""]","[""tracking_error""]",CAR-982,seattle,simulation,7,0,0,ads_2026.06.3,S1,1780497660566
ISS-0008-YFRSK2,Throttle lag,2026-06-13 08:50:04,1781365804432,control,The requested acceleration was applied later than expected after a stop. The vehicle created a small gap to the leading traffic flow. The event was closed after offline triage.,Throttle lag,"[""safety_review"", ""stuck"", ""triage""]","[""tracking_error""]",CAR-118,san_francisco,road_test,8,0,1,ads_2026.06.2,S2,1781366344432
ISS-0009-FGGQT7,Lane boundary flicker,2026-06-06 00:53:56,1780732436231,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The case should be compared against the latest regression run.,Lane boundary flicker,"[""regression"", ""manual_takeover""]","[""hard_brake""]",CAR-450,austin,fleet_replay,8,0,1,ads_2026.07.0-beta,S3,1780734656231
ISS-0010-L56DIU,Unstable cut-in prediction,2026-06-06 07:39:27,1780756767090,prediction,A neighboring vehicle's future path oscillated between keep-lane and cut-in hypotheses. Planning reacted with repeated speed adjustments. The record is suitable for module-owner follow-up.,Unstable cut-in prediction,"[""regression"", ""low_confidence"", ""comfort""]","[""hesitation"", ""false_detection""]",CAR-683,austin,road_test,7,0,1,ads_2026.06.2,S3,1780764567090
