review_id,business_id,business_name,city,state,stars,date,text,themes,themes_with_quotes_json
59zwfNPnk5VWVd0LsX8MXQ,Gstw7erE6199OMgsbFAqWA,Starbucks,Ballwin,MO,1,2018-12-31 01:36:50,"I love Starbucks. I am a regular customer, but I've always had problems with this location. But on this one instance my friend and I went in there and we were in a hurry. We were Almost the only ones in there on a Sunday night not even close to closing time. We ordered two drinks and sat there wondering why they're taking so long. Then when we are about as we saw they were sitting on the counter. The ice had melted and my friends drink and my drink was no longer warm. I was very frustrated because they could see that we were sitting there waiting for our drinks for a while. They never called our drinks or our names we would've heard because we were the only ones in there at that time. Very frustrating when they were all just standing there and you were waiting for drinks but didn't say anything which made my friend and I very late to our event.",speed_wait_time|barista_service|drink_quality,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""We ordered two drinks and sat there wondering why they're taking so long."", ""note"": ""Long wait despite being nearly empty""}, {""theme_id"": ""barista_service"", ""quote"": ""They never called our drinks or our names we would've heard because we were the only ones in there at that time."", ""note"": ""Failed to notify customers drinks were ready""}, {""theme_id"": ""drink_quality"", ""quote"": ""The ice had melted and my friends drink and my drink was no longer warm."", ""note"": ""Drinks deteriorated while sitting on counter""}]"
OmrD_i2fvxCgLyMPegyRUQ,DTyeAYLV9YCc4mG5XTorTA,Starbucks,Philadelphia,PA,2,2019-05-17 17:59:18,"3 years later, and they're still understaffed. I've also found that their drinks are less consistent than other locations. Today I ordered a vanilla sweet cream cold brew (for which I had to wait at least 10 minutes), and it was both overly sweet and watery tasting. I've never had this problem at other locations. Overall, Kitchen Gia right next door or ABP is quicker and better.",speed_wait_time|drink_quality|barista_service,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""for which I had to wait at least 10 minutes"", ""note"": ""Excessive wait for cold brew""}, {""theme_id"": ""drink_quality"", ""quote"": ""it was both overly sweet and watery tasting"", ""note"": ""Inconsistent drink preparation at this location""}, {""theme_id"": ""barista_service"", ""quote"": ""they're still understaffed"", ""note"": ""Chronic staffing issue noted over 3 years""}]"
wi-HFegLnIAHMK1ZBgntPw,n_wXu0dBd7hoBeMgMgQl0g,Starbucks,Nashville,TN,4,2015-06-30 12:01:07,"Although the drive-thru line routinely spills into main thoroughfare during peak hours (6-10 am), going inside saved me tons of time. Took less than 5 minutes to order and receive my drink.

Fully staffed with friendly folks! Very clean and cozy atmosphere inside.",drive_thru|speed_wait_time|barista_service|cleanliness|atmosphere_workspace,"[{""theme_id"": ""drive_thru"", ""quote"": ""the drive-thru line routinely spills into main thoroughfare during peak hours (6-10 am)"", ""note"": ""Long drive-thru line observed, customer went inside instead""}, {""theme_id"": ""speed_wait_time"", ""quote"": ""Took less than 5 minutes to order and receive my drink"", ""note"": ""Fast inside service""}, {""theme_id"": ""barista_service"", ""quote"": ""Fully staffed with friendly folks!"", ""note"": """"}, {""theme_id"": ""cleanliness"", ""quote"": ""Very clean"", ""note"": """"}, {""theme_id"": ""atmosphere_workspace"", ""quote"": ""cozy atmosphere inside"", ""note"": """"}]"
LseSsdjoP7QLlCga1h0a4g,jwkgVfSLydNMAF2US6bL1g,Starbucks,Doylestown,PA,1,2016-12-26 18:25:54,"By far the slowest Starbucks I've ever experienced. Just waited 20 minutes for two cappuccinos, amidst a crowd of other customers waiting. And it seemed to be business as usual.",speed_wait_time,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""Just waited 20 minutes for two cappuccinos"", ""note"": ""Slowest location customer has experienced""}]"
j9UqmcV7MsXtP62igEJ4Sw,JyYT5phFLg3BESNL-WXf4Q,Starbucks,Creve Coeur,MO,4,2015-07-02 12:19:09,"At first glance, it's easy to miss this Starbucks driving down olive boulevard in Creve coeur. It is in an unassuming building, but directed right off the main road. There is plenty of parking as you pull in and the shop has two entrances. The staff was super efficient, friendly and helpful. This seems to be a necessity as the location was in the middle of their morning rush. They got my order as I was waiting in line, didn't mess anything up and had my coffee and pastry ready in lightning speed. Plenty of seating choices, with couches and tables, so I decided to do a little work. All in all, didn't expect such a big Starbucks in this building, but ended up enjoying my experience. I would definitely visit this location again, as I was able to get a lot of work done. All while enjoying a hot coffee with free refills!",speed_wait_time|barista_service|atmosphere_workspace|atmosphere_workspace,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""They got my order as I was waiting in line, didn't mess anything up and had my coffee and pastry ready in lightning speed."", ""note"": ""Positive: very fast during morning rush""}, {""theme_id"": ""barista_service"", ""quote"": ""The staff was super efficient, friendly and helpful."", ""note"": ""Efficient and friendly during rush""}, {""theme_id"": ""atmosphere_workspace"", ""quote"": ""Plenty of seating choices, with couches and tables, so I decided to do a little work."", ""note"": ""Good workspace with variety of seating""}, {""theme_id"": ""atmosphere_workspace"", ""quote"": ""I was able to get a lot of work done."", ""note"": ""Productive work environment""}]"
lOQJfF_nLrmH7ABvkviHEg,m7YpXsUZOfbmaHxjhCGP_A,Starbucks,Harvey,LA,5,2018-04-30 16:26:29,This is my favorite local Starbucks! I almost always submit mobile orders because my family and I have special dietary needs and I don't want any misinterpretation of my order. This location always gets it right. Also the staff are always friendly and I can see them hustling to get orders out quickly.,mobile_app_order|drink_quality|barista_service|speed_wait_time,"[{""theme_id"": ""mobile_app_order"", ""quote"": ""I almost always submit mobile orders because my family and I have special dietary needs"", ""note"": ""Uses app for dietary customization control""}, {""theme_id"": ""drink_quality"", ""quote"": ""This location always gets it right."", ""note"": ""Consistently accurate customizations""}, {""theme_id"": ""barista_service"", ""quote"": ""the staff are always friendly and I can see them hustling to get orders out quickly"", ""note"": ""Friendly and hardworking staff""}, {""theme_id"": ""speed_wait_time"", ""quote"": ""I can see them hustling to get orders out quickly"", ""note"": ""Perceived fast service""}]"
_4dXIMXfX9cV_3ocWGZ54w,twzNU32q_CLrjtnAqMjLRg,Starbucks,Tampa,FL,2,2018-01-09 12:56:52,"Very slow!.  Placed mobile order which said 3-7 minutes.  Waited 20 minutes for coffee.  One barista wprking and in no hurry for anything.  When finally got it, the cup was sticky. There are multiple other starbucks locations within a 3 mile radius.  Go there and avoid this location.",mobile_app_order|speed_wait_time|cleanliness|barista_service,"[{""theme_id"": ""mobile_app_order"", ""quote"": ""Placed mobile order which said 3-7 minutes.  Waited 20 minutes for coffee."", ""note"": ""App estimate was inaccurate""}, {""theme_id"": ""speed_wait_time"", ""quote"": ""Waited 20 minutes for coffee.  One barista wprking and in no hurry for anything."", ""note"": ""Severe delay, understaffed""}, {""theme_id"": ""cleanliness"", ""quote"": ""When finally got it, the cup was sticky."", ""note"": ""Cup exterior was unclean""}, {""theme_id"": ""barista_service"", ""quote"": ""One barista wprking and in no hurry for anything."", ""note"": ""Perceived lack of urgency""}]"
8di2BV6Xttlj0V9zV7HYSA,88r-82tHoOm52PSt6dXy0g,Starbucks,O'Fallon,IL,2,2019-10-17 21:20:48,Renovated to slow down service.  I understand long lines but 3 cars and still over 15 mins?  Will skip this one from now on!,speed_wait_time|drive_thru,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""3 cars and still over 15 mins?"", ""note"": ""Frustrated by excessive wait time""}, {""theme_id"": ""drive_thru"", ""quote"": ""3 cars and still over 15 mins?"", ""note"": ""Drive-thru line delay mentioned""}]"
hTHhsaio9gmwn6ApSV3p_w,h4VyN6sZLqgJ6LBp0P6VPw,Starbucks,Kenner,LA,1,2019-03-08 17:00:10,SUPER SLOW SERVICE regardless whether it's 6:15 am on a Tuesday morning or 10 am on a Saturday morning. 15 minutes in the drive thru is completely unacceptable! I come here because it's right by my house but it's SO inconvenient because they're always SO slow!,speed_wait_time|drive_thru,"[{""theme_id"": ""speed_wait_time"", ""quote"": ""SUPER SLOW SERVICE regardless whether it's 6:15 am on a Tuesday morning or 10 am on a Saturday morning. 15 minutes"", ""note"": ""Consistent slowness across different times""}, {""theme_id"": ""drive_thru"", ""quote"": ""15 minutes in the drive thru is completely unacceptable!"", ""note"": ""Drive-thru wait time complaint""}]"
mpi1fEULM5l0ScvfIwIHOw,AM7O0cwkxm6w_e0Q7-f9FQ,Starbucks,Indianapolis,IN,4,2022-01-15 19:57:45,"I'm a bit obsessed with Starbucks' cold brew as it is better than any coffee you can get anywhere else. All of the drink options are great, but a downfall is that they've gotten rid of their best syrup (Sugar Free Cinnamon Dolce). I also can't justify paying so much for a cup of coffee on the regular, but believe me -- when I get the craving, the cold brew is quite a treat!
I also really enjoy their iced chai latte, which has such great flavor! The chai they use is simply perfect. If you want a lower carb/sugar/calorie option , request a brewed chai with sugar free vanilla and half and half. It's just as good, but a bit healthier for those looking!
Finally; huge shout out to the crew at the greenwood Starbucks off of 31. It's super busy and they all are working quickly, efficiently, and with a smile!",drink_quality|drink_quality|pricing_value|barista_service|speed_wait_time,"[{""theme_id"": ""drink_quality"", ""quote"": ""Starbucks' cold brew as it is better than any coffee you can get anywhere else"", ""note"": ""Praises cold brew quality""}, {""theme_id"": ""drink_quality"", ""quote"": ""I also really enjoy their iced chai latte, which has such great flavor! The chai they use is simply perfect."", ""note"": ""Positive on chai latte""}, {""theme_id"": ""pricing_value"", ""quote"": ""I also can't justify paying so much for a cup of coffee on the regular"", ""note"": ""Finds price too high for regular visits""}, {""theme_id"": ""barista_service"", ""quote"": ""they all are working quickly, efficiently, and with a smile"", ""note"": ""Praises Greenwood location staff""}, {""theme_id"": ""speed_wait_time"", ""quote"": ""It's super busy and they all are working quickly, efficiently"", ""note"": ""Busy but service is fast""}]"
